author_id,author,work_count,award_count,awards
AUTR-000343,東野圭吾,6,6,"HKM,JRA,KIK,KMS,NAO,RAN"
AUTR-000323,宮部みゆき,6,6,"JRA,JSF,KIK,KMS,NAO,YAM"
AUTR-000382,米澤穂信,5,5,"HKM,JRA,KMS,NAO,YAM"
AUTR-000324,桐野夏生,4,5,"JRA,KIK,KMS,NAO,RAN"
AUTR-000355,道尾秀介,4,4,"HKM,JRA,NAO,YAM"
AUTR-000287,皆川博子,4,4,"HKM,JRA,KIK,NAO"
AUTR-000524,青崎有吾,1,4,"HKM,JRA,KMS,YAM"
AUTR-000370,恩田陸,4,4,"HON,JRA,NAO,YAM"
AUTR-000306,高橋克彦,4,4,"JRA,KIK,NAO,RAN"
AUTR-000327,船戸与一,3,4,"JRA,KMS,NAO,YAM"
AUTR-000352,佐々木譲,3,4,"JRA,KMS,NAO,YAM"
AUTR-000312,大沢在昌,3,4,"JRA,KIK,KMS,NAO"
AUTR-000337,京極夏彦,4,4,"JRA,KIK,NAO,YAM"
AUTR-000447,真保裕一,3,4,"JRA,KMS,RAN,YAM"
AUTR-000350,天童荒太,3,4,"JRA,KMS,NAO,YAM"
AUTR-000384,小川哲,3,4,"JRA,JSF,NAO,YAM"
AUTR-000500,山田正紀,2,3,"HKM,JRA,JSF"
AUTR-000504,歌野晶午,2,3,"HKM,JRA,KMS"
AUTR-000521,櫻田智也,2,3,"HKM,JRA,KMS"
AUTR-000398,伊坂幸太郎,1,3,"HON,KMS,YAM"
AUTR-000301,泡坂妻夫,3,3,"JRA,KMS,NAO"
AUTR-000289,逢坂剛,2,3,"JRA,KIK,NAO"
AUTR-000310,高村薫,3,3,"JRA,KMS,NAO"
AUTR-000331,藤田宜永,3,3,"JRA,KIK,NAO"
AUTR-000377,馳星周,3,3,"JRA,KMS,NAO"
AUTR-000386,垣根涼介,3,3,"JRA,NAO,YAM"
AUTR-000505,貴志祐介,3,3,"JRA,JSF,KMS"
AUTR-000455,高野和明,2,3,"JRA,KMS,RAN"
AUTR-000473,呉勝浩,3,3,"JRA,KMS,RAN"
AUTR-000257,井上ひさし,3,3,"JSF,KIK,NAO"
AUTR-000250,陳舜臣,3,3,"KIK,NAO,RAN"
AUTR-000321,篠田節子,3,3,"KIK,NAO,YAM"
AUTR-000330,重松清,3,3,"KIK,NAO,YAM"
AUTR-000379,佐藤究,2,3,"NAO,RAN,YAM"
AUTR-000029,松本清張,2,2,"AKU,KIK"
AUTR-000048,田辺聖子,2,2,"AKU,KIK"
AUTR-000081,宮本輝,2,2,"AKU,KIK"
AUTR-000104,小川洋子,2,2,"AKU,HON"
AUTR-000131,吉田修一,2,2,"AKU,YAM"
AUTR-000151,円城塔,2,2,"AKU,JSF"
AUTR-000530,法月綸太郎,2,2,"HKM,KMS"
AUTR-000503,有栖川有栖,2,2,"HKM,JRA"
AUTR-000511,麻耶雄嵩,2,2,"HKM,JRA"
AUTR-000537,竹本健治,1,2,"HKM,KMS"
AUTR-000538,今村昌弘,1,2,"HKM,KMS"
AUTR-000540,相沢沙呼,1,2,"HKM,KMS"
AUTR-000522,芦辺拓,1,2,"HKM,JRA"
AUTR-000397,佐藤多佳子,2,2,"HON,YAM"
AUTR-000399,湊かなえ,2,2,"HON,YAM"
AUTR-000400,冲方丁,2,2,"HON,JSF"
AUTR-000345,三浦しをん,2,2,"HON,NAO"
AUTR-000359,辻村深月,2,2,"HON,NAO"
AUTR-000361,朝井リョウ,2,2,"HON,NAO"
AUTR-000420,西村京太郎,2,2,"JRA,RAN"
AUTR-000488,辻真先,2,2,"JRA,KMS"
AUTR-000279,胡桃沢耕史,2,2,"JRA,NAO"
AUTR-000490,北方謙三,2,2,"JRA,KIK"
AUTR-000436,岡嶋二人,2,2,"JRA,RAN"
AUTR-000491,志水辰夫,2,2,"JRA,KMS"
AUTR-000425,和久峻三,2,2,"JRA,RAN"
AUTR-000452,福井晴敏,2,2,"JRA,RAN"
AUTR-000499,菅浩江,2,2,"JRA,JSF"
AUTR-000501,古川日出男,1,2,"JRA,JSF"
AUTR-000347,桜庭一樹,2,2,"JRA,NAO"
AUTR-000507,今野敏,1,2,"JRA,YAM"
AUTR-000510,貫井徳郎,2,2,"JRA,YAM"
AUTR-000514,月村了衛,2,2,"JRA,JSF"
AUTR-000515,早見和真,2,2,"JRA,YAM"
AUTR-000477,伏尾美紀,2,2,"JRA,RAN"
AUTR-000262,半村良,2,2,"JSF,NAO"
AUTR-000565,夢枕獏,2,2,"JSF,KIK"
AUTR-000552,森見登美彦,2,2,"JSF,YAM"
AUTR-000300,原尞,2,2,"KMS,NAO"
AUTR-000187,川口松太郎,2,2,"KIK,NAO"
AUTR-000206,源氏鶏太,2,2,"KIK,NAO"
AUTR-000208,柴田錬三郎,2,2,"KIK,NAO"
AUTR-000214,新田次郎,2,2,"KIK,NAO"
AUTR-000216,南條範夫,2,2,"KIK,NAO"
AUTR-000223,多岐川恭,2,2,"NAO,RAN"
AUTR-000224,城山三郎,2,2,"KIK,NAO"
AUTR-000226,平岩弓枝,2,2,"KIK,NAO"
AUTR-000228,司馬遼太郎,2,2,"KIK,NAO"
AUTR-000229,池波正太郎,2,2,"KIK,NAO"
AUTR-000231,黒岩重吾,2,2,"KIK,NAO"
AUTR-000232,水上勉,2,2,"KIK,NAO"
AUTR-000233,伊藤桂一,2,2,"KIK,NAO"
AUTR-000235,杉本苑子,2,2,"KIK,NAO"
AUTR-000240,永井路子,2,2,"KIK,NAO"
AUTR-000246,五木寛之,2,2,"KIK,NAO"
AUTR-000248,野坂昭如,2,2,"KIK,NAO"
AUTR-000251,早乙女貢,2,2,"KIK,NAO"
AUTR-000253,結城昌治,2,2,"KIK,NAO"
AUTR-000254,渡辺淳一,2,2,"KIK,NAO"
AUTR-000258,藤沢周平,2,2,"KIK,NAO"
AUTR-000265,津本陽,2,2,"KIK,NAO"
AUTR-000267,宮尾登美子,2,2,"KIK,NAO"
AUTR-000270,阿刀田高,2,2,"KIK,NAO"
AUTR-000281,高橋治,2,2,"KIK,NAO"
AUTR-000286,林真理子,2,2,"KIK,NAO"
AUTR-000290,白石一郎,2,2,"KIK,NAO"
AUTR-000303,宮城谷昌光,2,2,"KIK,NAO"
AUTR-000307,伊集院静,2,2,"KIK,NAO"
AUTR-000309,北原亞以子,2,2,"KIK,NAO"
AUTR-000316,藤原伊織,1,2,"NAO,RAN"
AUTR-000317,小池真理子,2,2,"KIK,NAO"
AUTR-000320,浅田次郎,2,2,"KIK,NAO"
AUTR-000334,乙川優三郎,2,2,"NAO,YAM"
AUTR-000335,村山由佳,2,2,"KIK,NAO"
AUTR-000338,江國香織,2,2,"NAO,YAM"
