author_id,author_name,author_name_kana,birth_year,death_year,notes
AUTR-000001,石川達三,,,,
AUTR-000002,鶴田知也,,,,
AUTR-000003,小田嶽夫,,,,
AUTR-000004,冨澤有爲男,,,,
AUTR-000005,石川淳,,,,
AUTR-000006,尾崎一雄,,,,
AUTR-000007,火野葦平,,,,
AUTR-000008,中山義秀,,,,
AUTR-000009,中里恒子,,,,
AUTR-000010,長谷健,,,,
AUTR-000011,半田義之,,,,
AUTR-000012,寒川光太郎,,,,
AUTR-000013,櫻田常久,,,,
AUTR-000014,多田裕計,,,,
AUTR-000015,芝木好子,,,,
AUTR-000016,倉光俊夫,,,,
AUTR-000017,石塚喜久三,,,,
AUTR-000018,東野邊薫,,,,
AUTR-000019,小尾十三登,,,,
AUTR-000020,八木義徳,,,,
AUTR-000021,清水基吉,,,,
AUTR-000022,由起しげ子,,,,
AUTR-000023,小谷剛,,,,
AUTR-000024,井上靖,,,,
AUTR-000025,辻亮一,,,,
AUTR-000026,石川利光,,,,
AUTR-000027,安部公房,,,,
AUTR-000028,堀田善衛,,,,
AUTR-000029,松本清張,,,,
AUTR-000030,五味康祐,,,,
AUTR-000031,安岡章太郎,,,,
AUTR-000032,吉行淳之介,,,,
AUTR-000033,庄野潤三,,,,
AUTR-000034,小島信夫,,,,
AUTR-000035,遠藤周作,,,,
AUTR-000036,石原慎太郎,,,,
AUTR-000037,近藤啓太郎,,,,
AUTR-000038,菊村到,,,,
AUTR-000039,開高健,,,,
AUTR-000040,大江健三郎,,,,
AUTR-000041,斯波四郎,,,,
AUTR-000042,北杜夫,,,,
AUTR-000043,三浦哲郎,,,,
AUTR-000044,宇能鴻一郎,,,,
AUTR-000045,川村晃,,,,
AUTR-000046,河野多惠子,,,,
AUTR-000047,後藤紀一,,,,
AUTR-000048,田辺聖子,,,,
AUTR-000049,柴田翔,,,,
AUTR-000050,津村節子,,,,
AUTR-000051,高井有一,,,,
AUTR-000052,丸山健二,,,,
AUTR-000053,大城立裕,,,,
