author_id,author,award_sequence,award_years
AUTR-000029,松本清張,AKU→KIK,1952|1967
AUTR-000048,田辺聖子,AKU→KIK,1963|1993
AUTR-000081,宮本輝,AKU→KIK,1977|1987
AUTR-000104,小川洋子,AKU→HON,1990|2004
AUTR-000131,吉田修一,AKU→YAM,2002|2002
AUTR-000187,川口松太郎,NAO→KIK,1935|1969
AUTR-000206,源氏鶏太,NAO→KIK,1951|1971
AUTR-000208,柴田錬三郎,NAO→KIK,1951|1970
AUTR-000214,新田次郎,NAO→KIK,1955|1974
AUTR-000216,南條範夫,NAO→KIK,1956|1982
AUTR-000223,多岐川恭,NAO→RAN,1958|1958
AUTR-000224,城山三郎,NAO→KIK,1958|1975
AUTR-000226,平岩弓枝,NAO→KIK,1959|1991
AUTR-000228,司馬遼太郎,NAO→KIK,1959|1972
AUTR-000229,池波正太郎,NAO→KIK,1960|1977
AUTR-000231,黒岩重吾,NAO→KIK,1960|1980
AUTR-000232,水上勉,NAO→KIK,1961|1973
AUTR-000233,伊藤桂一,NAO→KIK,1961|1984
AUTR-000235,杉本苑子,NAO→KIK,1962|1978
AUTR-000240,永井路子,NAO→KIK,1964|1988
AUTR-000246,五木寛之,NAO→KIK,1966|1976
AUTR-000248,野坂昭如,NAO→KIK,1967|1997
AUTR-000250,陳舜臣,RAN→NAO→KIK,1961|1968|1992
AUTR-000251,早乙女貢,NAO→KIK,1968|1989
AUTR-000253,結城昌治,NAO→KIK,1970|1985
AUTR-000254,渡辺淳一,NAO→KIK,1970|1980
AUTR-000257,井上ひさし,NAO→KIK,1972|1986
AUTR-000258,藤沢周平,NAO→KIK,1973|1986
AUTR-000265,津本陽,NAO→KIK,1978|1995
AUTR-000267,宮尾登美子,NAO→KIK,1978|1983
AUTR-000270,阿刀田高,NAO→KIK,1979|1995
AUTR-000279,胡桃沢耕史,JRA→NAO,1983|1983
AUTR-000281,高橋治,NAO→KIK,1983|1996
AUTR-000286,林真理子,NAO→KIK,1985|1998
AUTR-000287,皆川博子,JRA→NAO→KIK→HKM,1985|1986|1998|2012
AUTR-000289,逢坂剛,NAO→JRA→KIK,1986|1987|2015
AUTR-000290,白石一郎,NAO→KIK,1987|1999
AUTR-000301,泡坂妻夫,JRA→NAO,1978|1990
AUTR-000303,宮城谷昌光,NAO→KIK,1991|2001
