award_from,award_to,overlap_count,work_ids
HKM,JRA,6,PLAM-000532|PLAM-000537|PLAM-000547|PLAM-000560|PLAM-000561|PLAM-000564
JRA,HKM,6,PLAM-000532|PLAM-000537|PLAM-000547|PLAM-000560|PLAM-000561|PLAM-000564
HKM,NAO,1,PLAM-000382
NAO,HKM,1,PLAM-000382
HKM,YAM,1,PLAM-000564
YAM,HKM,1,PLAM-000564
HON,NAO,1,PLAM-000370
NAO,HON,1,PLAM-000370
HON,YAM,1,PLAM-000399
YAM,HON,1,PLAM-000399
JRA,NAO,1,PLAM-000216
NAO,JRA,1,PLAM-000216
JRA,YAM,4,PLAM-000564|PLAM-000513|PLAM-000523|PLAM-000542
YAM,JRA,4,PLAM-000564|PLAM-000513|PLAM-000523|PLAM-000542
NAO,RAN,1,PLAM-000276
RAN,NAO,1,PLAM-000276
NAO,YAM,3,PLAM-000299|PLAM-000379|PLAM-000387
YAM,NAO,3,PLAM-000299|PLAM-000379|PLAM-000387
