history_id,work_id,award_id,award_year,award_no,award_term,status,confidence,remarks
1,PLAM-000001,AKU,1935,1,H1,awarded,OFFICIAL,
2,PLAM-000002,AKU,1936,3,H1,co_winner,OFFICIAL,
3,PLAM-000003,AKU,1936,3,H1,co_winner,OFFICIAL,
4,PLAM-000004,AKU,1936,4,H2,co_winner,OFFICIAL,
5,PLAM-000005,AKU,1936,4,H2,co_winner,OFFICIAL,
6,PLAM-000006,AKU,1937,5,H1,awarded,OFFICIAL,
7,PLAM-000007,AKU,1937,6,H2,awarded,OFFICIAL,
8,PLAM-000008,AKU,1938,7,H1,awarded,OFFICIAL,
9,PLAM-000009,AKU,1938,8,H2,awarded,OFFICIAL,
10,PLAM-000010,AKU,1939,9,H1,co_winner,OFFICIAL,
11,PLAM-000011,AKU,1939,9,H1,co_winner,OFFICIAL,
12,PLAM-000012,AKU,1939,10,H2,awarded,OFFICIAL,
13,PLAM-000013,AKU,1940,12,H2,awarded,OFFICIAL,
14,PLAM-000014,AKU,1941,13,H1,awarded,OFFICIAL,
15,PLAM-000015,AKU,1941,14,H2,awarded,OFFICIAL,
16,PLAM-000016,AKU,1942,16,H2,awarded,OFFICIAL,
17,PLAM-000017,AKU,1943,17,H1,awarded,OFFICIAL,
18,PLAM-000018,AKU,1943,18,H2,awarded,OFFICIAL,
19,PLAM-000019,AKU,1944,19,H1,co_winner,OFFICIAL,
20,PLAM-000020,AKU,1944,19,H1,co_winner,OFFICIAL,
21,PLAM-000021,AKU,1944,20,H2,awarded,OFFICIAL,第20回H2終了後戦争のため休止
22,PLAM-000022,AKU,1949,21,H1,co_winner,OFFICIAL,1944年第20回H2〜1948年は戦争のため休止
23,PLAM-000023,AKU,1949,21,H1,co_winner,OFFICIAL,
24,PLAM-000024,AKU,1949,22,H2,awarded,OFFICIAL,
25,PLAM-000025,AKU,1950,23,H1,awarded,OFFICIAL,
26,PLAM-000026,AKU,1951,25,H1,co_winner,OFFICIAL,
27,PLAM-000027,AKU,1951,25,H1,co_winner,OFFICIAL,
28,PLAM-000028,AKU,1951,26,H2,awarded,OFFICIAL,
29,PLAM-000029,AKU,1952,28,H2,co_winner,OFFICIAL,
30,PLAM-000030,AKU,1952,28,H2,co_winner,OFFICIAL,
31,PLAM-000031,AKU,1953,29,H1,awarded,OFFICIAL,
32,PLAM-000032,AKU,1954,31,H1,awarded,OFFICIAL,
33,PLAM-000033,AKU,1954,32,H2,co_winner,OFFICIAL,
34,PLAM-000034,AKU,1954,32,H2,co_winner,OFFICIAL,
35,PLAM-000035,AKU,1955,33,H1,awarded,OFFICIAL,
36,PLAM-000036,AKU,1955,34,H2,awarded,OFFICIAL,
37,PLAM-000037,AKU,1956,35,H1,awarded,OFFICIAL,
38,PLAM-000038,AKU,1957,37,H1,awarded,OFFICIAL,
39,PLAM-000039,AKU,1957,38,H2,awarded,OFFICIAL,
40,PLAM-000040,AKU,1958,39,H1,awarded,OFFICIAL,
41,PLAM-000041,AKU,1959,41,H1,awarded,OFFICIAL,
42,PLAM-000042,AKU,1960,43,H1,awarded,OFFICIAL,
43,PLAM-000043,AKU,1960,44,H2,awarded,OFFICIAL,
44,PLAM-000044,AKU,1961,46,H2,awarded,OFFICIAL,
45,PLAM-000045,AKU,1962,47,H1,awarded,OFFICIAL,
46,PLAM-000046,AKU,1963,49,H1,co_winner,OFFICIAL,
47,PLAM-000047,AKU,1963,49,H1,co_winner,OFFICIAL,
48,PLAM-000048,AKU,1963,50,H2,awarded,OFFICIAL,
49,PLAM-000049,AKU,1964,51,H1,awarded,OFFICIAL,
50,PLAM-000050,AKU,1965,53,H1,awarded,OFFICIAL,
51,PLAM-000051,AKU,1965,54,H2,awarded,OFFICIAL,
52,PLAM-000052,AKU,1966,56,H2,awarded,OFFICIAL,
53,PLAM-000053,AKU,1967,57,H1,awarded,OFFICIAL,
54,PLAM-000054,AKU,1967,58,H2,awarded,OFFICIAL,
55,PLAM-000055,AKU,1968,59,H1,co_winner,OFFICIAL,
56,PLAM-000056,AKU,1968,59,H1,co_winner,OFFICIAL,
57,PLAM-000057,AKU,1969,61,H1,co_winner,OFFICIAL,
58,PLAM-000058,AKU,1969,61,H1,co_winner,OFFICIAL,
59,PLAM-000059,AKU,1969,62,H2,awarded,OFFICIAL,
60,PLAM-000060,AKU,1970,63,H1,co_winner,OFFICIAL,
61,PLAM-000061,AKU,1970,63,H1,co_winner,OFFICIAL,
62,PLAM-000062,AKU,1970,64,H2,awarded,OFFICIAL,
63,PLAM-000063,AKU,1971,66,H2,co_winner,OFFICIAL,
64,PLAM-000064,AKU,1971,66,H2,co_winner,OFFICIAL,
65,PLAM-000065,AKU,1972,67,H1,co_winner,OFFICIAL,
66,PLAM-000066,AKU,1972,67,H1,co_winner,OFFICIAL,
67,PLAM-000067,AKU,1972,68,H2,co_winner,OFFICIAL,
68,PLAM-000068,AKU,1972,68,H2,co_winner,OFFICIAL,
69,PLAM-000069,AKU,1973,69,H1,awarded,OFFICIAL,
70,PLAM-000070,AKU,1973,70,H2,co_winner,OFFICIAL,
71,PLAM-000071,AKU,1973,70,H2,co_winner,OFFICIAL,
72,PLAM-000072,AKU,1974,72,H2,co_winner,OFFICIAL,
73,PLAM-000073,AKU,1974,72,H2,co_winner,OFFICIAL,
74,PLAM-000074,AKU,1975,73,H1,awarded,OFFICIAL,
75,PLAM-000075,AKU,1975,74,H2,co_winner,OFFICIAL,
