source,target,weight,shared_works,shared_titles
HKM,KMS,0.1333,8,medium 霊媒探偵城塚翡翠; 地雷グリコ; 容疑者Xの献身; 屍人荘の殺人; 涙香迷宮
JRA,KMS,0.068,7,OUT; ジェノサイド; 伝説なき地; 地雷グリコ; 新宿鮫
HKM,JRA,0.0625,6,ミステリ・オペラ 宿命城殺人事件; 地雷グリコ; 大鞠家殺人事件; 葉桜の季節に君を想うということ; 蟬かえる
KMS,YAM,0.05,4,ゴールデンスランバー; 地雷グリコ; 満願; 砂のクロニクル
JRA,YAM,0.0351,4,エトロフ発緊急電; 地雷グリコ; 奪取; 果断 隠蔽捜査2
AKU,TAN,0.0172,4,九年前の祈り; 死んでいない者; 異類婚姻譚; 送り火
HOR,YAM,0.0169,1,ぼっけえ、きょうてえ
HON,KMS,0.0167,1,ゴールデンスランバー
HON,YAM,0.0147,1,ゴールデンスランバー
HKM,YAM,0.0133,1,地雷グリコ
KMS,NAO,0.0124,3,マークスの山; 私が殺した少女; 黒牢城
NAO,YAM,0.012,3,テスカトリポカ; 木挽町のあだ討ち; 邂逅の森
JSF,YAM,0.0095,1,ゲームの王国
HON,YOM,0.0093,1,博士の愛した数式
JRA,JSF,0.0076,1,アラビアの夜の種族
NOM,TAN,0.0076,1,火の山―山猿記
JSF,YOM,0.0069,1,吉里吉里人
HON,NAO,0.0044,1,蜜蜂と遠雷
HKM,NAO,0.0043,1,黒牢城
NAO,TAN,0.004,1,月の満ち欠け
JRA,NAO,0.0036,1,カディスの赤い星
NAO,RAN,0.0035,1,テロリストのパラソル
