entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
HKM-001-H1-01,PLAM-000568,HKM,本格ミステリ大賞,2001,1,H1,壺中の天国,倉知淳,,missing,awarded,
HKM-002-H1-01,PLAM-000532,HKM,本格ミステリ大賞,2002,2,H1,ミステリ・オペラ 宿命城殺人事件,山田正紀,,missing,awarded,
HKM-003-H1-01,PLAM-000569,HKM,本格ミステリ大賞,2003,3,H1,GOTHリストカット事件,乙一,,missing,co_winner,
HKM-003-H1-02,PLAM-000570,HKM,本格ミステリ大賞,2003,3,H1,オイディプス症候群,笠井潔,,missing,co_winner,
HKM-004-H1-01,PLAM-000537,HKM,本格ミステリ大賞,2004,4,H1,葉桜の季節に君を想うということ,歌野晶午,,missing,awarded,
HKM-005-H1-01,PLAM-000571,HKM,本格ミステリ大賞,2005,5,H1,生首に聞いてみろ,法月綸太郎,,missing,awarded,
HKM-006-H1-01,PLAM-000572,HKM,本格ミステリ大賞,2006,6,H1,容疑者Xの献身,東野圭吾,,missing,awarded,
HKM-007-H1-01,PLAM-000573,HKM,本格ミステリ大賞,2007,7,H1,シャドウ,道尾秀介,,missing,awarded,
HKM-008-H1-01,PLAM-000574,HKM,本格ミステリ大賞,2008,8,H1,女王国の城,有栖川有栖,,missing,awarded,
HKM-009-H1-01,PLAM-000575,HKM,本格ミステリ大賞,2009,9,H1,完全恋愛,牧薩次,,missing,awarded,
HKM-010-H1-01,PLAM-000576,HKM,本格ミステリ大賞,2010,10,H1,水魑の如き沈むもの,三津田信三,,missing,co_winner,
HKM-010-H1-02,PLAM-000577,HKM,本格ミステリ大賞,2010,10,H1,密室殺人ゲーム2.0,歌野晶午,,missing,co_winner,
HKM-011-H1-01,PLAM-000547,HKM,本格ミステリ大賞,2011,11,H1,隻眼の少女,麻耶雄嵩,,missing,awarded,
HKM-012-H1-01,PLAM-000578,HKM,本格ミステリ大賞,2012,12,H1,虚構推理 鋼人七瀬,城平京,,missing,co_winner,
HKM-012-H1-02,PLAM-000579,HKM,本格ミステリ大賞,2012,12,H1,開かせていただき光栄です,皆川博子,,missing,co_winner,
HKM-013-H1-01,PLAM-000580,HKM,本格ミステリ大賞,2013,13,H1,密室蒐集家,大山誠一郎,,missing,awarded,
HKM-014-H1-01,PLAM-000581,HKM,本格ミステリ大賞,2014,14,H1,スノーホワイト 名探偵三途川理と少女の鏡は千の目を持つ,森川智喜,,missing,awarded,
HKM-015-H1-01,PLAM-000582,HKM,本格ミステリ大賞,2015,15,H1,さよなら神様,麻耶雄嵩,,missing,awarded,
HKM-016-H1-01,PLAM-000583,HKM,本格ミステリ大賞,2016,16,H1,死と砂時計,鳥飼否宇,,missing,awarded,
HKM-017-H1-01,PLAM-000584,HKM,本格ミステリ大賞,2017,17,H1,涙香迷宮,竹本健治,,missing,awarded,
HKM-018-H1-01,PLAM-000585,HKM,本格ミステリ大賞,2018,18,H1,屍人荘の殺人,今村昌弘,,missing,awarded,
HKM-019-H1-01,PLAM-000586,HKM,本格ミステリ大賞,2019,19,H1,刀と傘 明治京洛推理帖,伊吹亜門,,missing,awarded,
HKM-020-H1-01,PLAM-000587,HKM,本格ミステリ大賞,2020,20,H1,medium 霊媒探偵城塚翡翠,相沢沙呼,,missing,awarded,
HKM-021-H1-01,PLAM-000560,HKM,本格ミステリ大賞,2021,21,H1,蟬かえる,櫻田智也,,missing,awarded,
HKM-022-H1-01,PLAM-000561,HKM,本格ミステリ大賞,2022,22,H1,大鞠家殺人事件,芦辺拓,,missing,co_winner,
HKM-022-H1-02,PLAM-000382,HKM,本格ミステリ大賞,2022,22,H1,黒牢城,米澤穂信,,missing,co_winner,
HKM-023-H1-01,PLAM-000588,HKM,本格ミステリ大賞,2023,23,H1,名探偵のいけにえ 人民教会殺人事件,白井智之,,missing,awarded,
HKM-024-H1-01,PLAM-000564,HKM,本格ミステリ大賞,2024,24,H1,地雷グリコ,青崎有吾,,missing,awarded,
HKM-025-H1-01,PLAM-000589,HKM,本格ミステリ大賞,2025,25,H1,彼女が探偵でなければ,逸木裕,,missing,awarded,
HKM-026-H1-01,PLAM-000590,HKM,本格ミステリ大賞,2026,26,H1,夜と霧の誘拐,笠井潔,,missing,awarded,
