entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
HON-001-H1-01,PLAM-000395,HON,本屋大賞,2004,1,H1,博士の愛した数式,小川洋子,,missing,awarded,
HON-002-H1-01,PLAM-000396,HON,本屋大賞,2005,2,H1,夜のピクニック,恩田陸,,missing,awarded,
HON-003-H1-01,PLAM-000397,HON,本屋大賞,2006,3,H1,東京タワー オカンとボクと、時々、オトン,リリー・フランキー,,missing,awarded,
HON-004-H1-01,PLAM-000398,HON,本屋大賞,2007,4,H1,一瞬の風になれ,佐藤多佳子,,missing,awarded,
HON-005-H1-01,PLAM-000399,HON,本屋大賞,2008,5,H1,ゴールデンスランバー,伊坂幸太郎,,missing,awarded,
HON-006-H1-01,PLAM-000400,HON,本屋大賞,2009,6,H1,告白,湊かなえ,,missing,awarded,
HON-007-H1-01,PLAM-000401,HON,本屋大賞,2010,7,H1,天地明察,冲方丁,,missing,awarded,
HON-008-H1-01,PLAM-000402,HON,本屋大賞,2011,8,H1,謎解きはディナーのあとで,東川篤哉,,missing,awarded,
HON-009-H1-01,PLAM-000403,HON,本屋大賞,2012,9,H1,舟を編む,三浦しをん,,missing,awarded,
HON-010-H1-01,PLAM-000404,HON,本屋大賞,2013,10,H1,海賊とよばれた男,百田尚樹,,missing,awarded,
HON-011-H1-01,PLAM-000405,HON,本屋大賞,2014,11,H1,村上海賊の娘,和田竜,,missing,awarded,
HON-012-H1-01,PLAM-000406,HON,本屋大賞,2015,12,H1,鹿の王,上橋菜穂子,,missing,awarded,
HON-013-H1-01,PLAM-000407,HON,本屋大賞,2016,13,H1,羊と鋼の森,宮下奈都,,missing,awarded,
HON-014-H1-01,PLAM-000370,HON,本屋大賞,2017,14,H1,蜜蜂と遠雷,恩田陸,,missing,awarded,
HON-015-H1-01,PLAM-000408,HON,本屋大賞,2018,15,H1,かがみの孤城,辻村深月,,missing,awarded,
HON-016-H1-01,PLAM-000409,HON,本屋大賞,2019,16,H1,そして、バトンは渡された,瀬尾まいこ,,missing,awarded,
HON-017-H1-01,PLAM-000410,HON,本屋大賞,2020,17,H1,流浪の月,凪良ゆう,,missing,awarded,
HON-018-H1-01,PLAM-000411,HON,本屋大賞,2021,18,H1,52ヘルツのクジラたち,町田そのこ,,missing,awarded,
HON-019-H1-01,PLAM-000412,HON,本屋大賞,2022,19,H1,同志少女よ、敵を撃て,逢坂冬馬,,missing,awarded,
HON-020-H1-01,PLAM-000413,HON,本屋大賞,2023,20,H1,汝、星のごとく,凪良ゆう,,missing,awarded,
HON-021-H1-01,PLAM-000414,HON,本屋大賞,2024,21,H1,成瀬は天下を取りにいく,宮島未奈,,missing,awarded,
HON-022-H1-01,PLAM-000415,HON,本屋大賞,2025,22,H1,カフネ,阿部暁子,,missing,awarded,
HON-023-H1-01,PLAM-000416,HON,本屋大賞,2026,23,H1,イン・ザ・メガチャーチ,朝井リョウ,,missing,awarded,
