entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
HOR-001-H1-00,,HOR,日本ホラー小説大賞,1994,1,H1,,,,missing,no_award,大賞該当なし（佳作3作）
HOR-002-H1-01,PLAM-000770,HOR,日本ホラー小説大賞,1995,2,H1,パラサイト・イヴ,瀬名秀明,,missing,awarded,
HOR-003-H1-00,,HOR,日本ホラー小説大賞,1996,3,H1,,,,missing,no_award,大賞該当なし（長編佳作・短編佳作）
HOR-004-H1-01,PLAM-000771,HOR,日本ホラー小説大賞,1997,4,H1,黒い家,貴志祐介,,missing,awarded,
HOR-005-H1-00,,HOR,日本ホラー小説大賞,1998,5,H1,,,,missing,no_award,大賞・長編賞・短編賞すべて該当なし
HOR-006-H1-01,PLAM-000602,HOR,日本ホラー小説大賞,1999,6,H1,ぼっけえ、きょうてえ,岩井志麻子,,missing,awarded,
HOR-007-H1-00,,HOR,日本ホラー小説大賞,2000,7,H1,,,,missing,no_award,大賞・長編賞・短編賞すべて該当なし
HOR-008-H1-01,PLAM-000772,HOR,日本ホラー小説大賞,2001,8,H1,ジュリエット,伊島りすと,,missing,awarded,
HOR-009-H1-00,,HOR,日本ホラー小説大賞,2002,9,H1,,,,missing,no_award,大賞・長編賞・短編賞すべて該当なし
HOR-010-H1-01,PLAM-000773,HOR,日本ホラー小説大賞,2003,10,H1,姉飼,遠藤徹,,missing,awarded,
HOR-011-H1-00,,HOR,日本ホラー小説大賞,2004,11,H1,,,,missing,no_award,大賞該当なし（長編佳作・短編賞あり）
HOR-012-H1-01,PLAM-000774,HOR,日本ホラー小説大賞,2005,12,H1,夜市,恒川光太郎,,missing,awarded,
HOR-013-H1-00,,HOR,日本ホラー小説大賞,2006,13,H1,,,,missing,no_award,大賞該当なし（長編受賞・短編受賞あり）
HOR-014-H1-00,,HOR,日本ホラー小説大賞,2007,14,H1,,,,missing,no_award,大賞・長編賞該当なし（短編受賞のみ）
HOR-015-H1-01,PLAM-000775,HOR,日本ホラー小説大賞,2008,15,H1,庵堂三兄弟の聖職,真藤順丈,,missing,awarded,
HOR-016-H1-01,PLAM-000776,HOR,日本ホラー小説大賞,2009,16,H1,化身,宮ノ川顕,,missing,awarded,
HOR-017-H1-01,PLAM-000777,HOR,日本ホラー小説大賞,2010,17,H1,お初の繭,一路晃司,,missing,awarded,
HOR-018-H1-00,,HOR,日本ホラー小説大賞,2011,18,H1,,,,missing,no_award,大賞該当なし（長編受賞・短編受賞あり）
HOR-019-H1-01,PLAM-000778,HOR,日本ホラー小説大賞,2012,19,H1,先導者,小杉英了,,missing,awarded,
HOR-020-H1-00,,HOR,日本ホラー小説大賞,2013,20,H1,,,,missing,no_award,大賞該当なし（優秀賞・読者賞あり）
HOR-021-H1-01,PLAM-000779,HOR,日本ホラー小説大賞,2014,21,H1,死呪の島,雪富千晶紀,,missing,awarded,
HOR-022-H1-01,PLAM-000780,HOR,日本ホラー小説大賞,2015,22,H1,ぼぎわん,澤村伊智,,missing,awarded,
HOR-023-H1-00,,HOR,日本ホラー小説大賞,2016,23,H1,,,,missing,no_award,大賞該当なし（優秀賞・読者賞あり）
HOR-024-H1-00,,HOR,日本ホラー小説大賞,2017,24,H1,,,,missing,no_award,大賞該当なし（優秀賞・読者賞あり）
HOR-025-H1-01,PLAM-000781,HOR,日本ホラー小説大賞,2018,25,H1,魔物・ドライブ・Xデー,秋竹サラダ,,missing,co_winner,最終回（翌年から横溝正史ミステリ&ホラー大賞に統合）
HOR-025-H1-02,PLAM-000782,HOR,日本ホラー小説大賞,2018,25,H1,ピラミッドの怪物,福士俊哉,,missing,co_winner,最終回
