entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
JRA-029-H1-00,,JRA,日本推理作家協会賞,1976,29,H1,,,,missing,no_award,
JRA-030-H1-00,,JRA,日本推理作家協会賞,1977,30,H1,,,,missing,no_award,
JRA-031-H1-01,PLAM-000497,JRA,日本推理作家協会賞,1978,31,H1,乱れからくり,泡坂妻夫,,missing,co_winner,
JRA-031-H1-02,PLAM-000498,JRA,日本推理作家協会賞,1978,31,H1,事件,大岡昇平,,missing,co_winner,
JRA-032-H1-01,PLAM-000499,JRA,日本推理作家協会賞,1979,32,H1,大誘拐,天藤真,,missing,co_winner,
JRA-032-H1-02,PLAM-000500,JRA,日本推理作家協会賞,1979,32,H1,スターリン暗殺計画,檜山良昭,,missing,co_winner,
JRA-033-H1-00,,JRA,日本推理作家協会賞,1980,33,H1,,,,missing,no_award,
JRA-034-H1-01,PLAM-000501,JRA,日本推理作家協会賞,1981,34,H1,終着駅殺人事件,西村京太郎,,missing,awarded,
JRA-035-H1-01,PLAM-000502,JRA,日本推理作家協会賞,1982,35,H1,アリスの国の殺人,辻真先,,missing,awarded,
JRA-036-H1-01,PLAM-000503,JRA,日本推理作家協会賞,1983,36,H1,天山を越えて,胡桃沢耕史,,missing,awarded,
JRA-037-H1-01,PLAM-000504,JRA,日本推理作家協会賞,1984,37,H1,ホック氏の異郷の冒険,加納一朗,,missing,awarded,
JRA-038-H1-01,PLAM-000505,JRA,日本推理作家協会賞,1985,38,H1,渇きの街,北方謙三,,missing,co_winner,
JRA-038-H1-02,PLAM-000506,JRA,日本推理作家協会賞,1985,38,H1,壁・旅芝居殺人事件,皆川博子,,missing,co_winner,
JRA-039-H1-01,PLAM-000507,JRA,日本推理作家協会賞,1986,39,H1,チョコレートゲーム,岡嶋二人,,missing,co_winner,
JRA-039-H1-02,PLAM-000508,JRA,日本推理作家協会賞,1986,39,H1,背いて故郷,志水辰夫,,missing,co_winner,
JRA-040-H1-01,PLAM-000216,JRA,日本推理作家協会賞,1987,40,H1,カディスの赤い星,逢坂剛,,missing,co_winner,
JRA-040-H1-02,PLAM-000509,JRA,日本推理作家協会賞,1987,40,H1,北斎殺人事件,高橋克彦,,missing,co_winner,
JRA-041-H1-01,PLAM-000510,JRA,日本推理作家協会賞,1988,41,H1,絆,小杉健治,,missing,awarded,
JRA-042-H1-01,PLAM-000511,JRA,日本推理作家協会賞,1989,42,H1,雨月荘殺人事件,和久峻三,,missing,co_winner,
JRA-042-H1-02,PLAM-000512,JRA,日本推理作家協会賞,1989,42,H1,伝説なき地,船戸与一,,missing,co_winner,
JRA-043-H1-01,PLAM-000513,JRA,日本推理作家協会賞,1990,43,H1,エトロフ発緊急電,佐々木譲,,missing,awarded,
JRA-044-H1-01,PLAM-000514,JRA,日本推理作家協会賞,1991,44,H1,新宿鮫,大沢在昌,,missing,awarded,
JRA-045-H1-01,PLAM-000515,JRA,日本推理作家協会賞,1992,45,H1,時計館の殺人,綾辻行人,,missing,co_winner,
JRA-045-H1-02,PLAM-000516,JRA,日本推理作家協会賞,1992,45,H1,龍は眠る,宮部みゆき,,missing,co_winner,
JRA-046-H1-01,PLAM-000517,JRA,日本推理作家協会賞,1993,46,H1,リヴィエラを撃て,高村薫,,missing,awarded,
JRA-047-H1-01,PLAM-000518,JRA,日本推理作家協会賞,1994,47,H1,ガダラの豚,中島らも,,missing,awarded,
