entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
KMS-001-H1-01,PLAM-000512,KMS,このミステリーがすごい！国内編,1988,1,H1,伝説なき地,船戸与一,,missing,awarded,第1回（年号表記変更のため1990年版は欠番）
KMS-002-H1-01,PLAM-000227,KMS,このミステリーがすごい！国内編,1989,2,H1,私が殺した少女,原尞,,missing,awarded,第2回
KMS-003-H1-01,PLAM-000514,KMS,このミステリーがすごい！国内編,1991,3,H1,新宿鮫,大沢在昌,,missing,awarded,第3回（1990年版欠番のため1991年版が第3回）
KMS-004-H1-01,PLAM-000692,KMS,このミステリーがすごい！国内編,1992,4,H1,行きずりの街,志水辰夫,,missing,awarded,第4回
KMS-005-H1-01,PLAM-000594,KMS,このミステリーがすごい！国内編,1993,5,H1,砂のクロニクル,船戸与一,,missing,awarded,第5回
KMS-006-H1-01,PLAM-000237,KMS,このミステリーがすごい！国内編,1994,6,H1,マークスの山,高村薫,,missing,awarded,第6回
KMS-007-H1-01,PLAM-000693,KMS,このミステリーがすごい！国内編,1995,7,H1,ミステリーズ,山口雅也,,missing,awarded,第7回
KMS-008-H1-01,PLAM-000694,KMS,このミステリーがすごい！国内編,1996,8,H1,ホワイトアウト,真保裕一,,missing,awarded,第8回
KMS-009-H1-01,PLAM-000695,KMS,このミステリーがすごい！国内編,1997,9,H1,不夜城,馳星周,,missing,awarded,第9回
KMS-010-H1-01,PLAM-000524,KMS,このミステリーがすごい！国内編,1998,10,H1,OUT,桐野夏生,,missing,awarded,第10回
KMS-011-H1-01,PLAM-000696,KMS,このミステリーがすごい！国内編,1999,11,H1,レディ・ジョーカー,高村薫,,missing,awarded,第11回
KMS-012-H1-01,PLAM-000528,KMS,このミステリーがすごい！国内編,2000,12,H1,永遠の仔,天童荒太,,missing,awarded,第12回
KMS-013-H1-01,PLAM-000697,KMS,このミステリーがすごい！国内編,2001,13,H1,奇術探偵曾我佳城全集,泡坂妻夫,,missing,awarded,第13回
KMS-014-H1-01,PLAM-000698,KMS,このミステリーがすごい！国内編,2002,14,H1,模倣犯,宮部みゆき,,missing,awarded,第14回
KMS-015-H1-01,PLAM-000699,KMS,このミステリーがすごい！国内編,2003,15,H1,半落ち,横山秀夫,,missing,awarded,第15回
KMS-016-H1-01,PLAM-000537,KMS,このミステリーがすごい！国内編,2004,16,H1,葉桜の季節に君を想うということ,歌野晶午,,missing,awarded,第16回
KMS-017-H1-01,PLAM-000571,KMS,このミステリーがすごい！国内編,2005,17,H1,生首に聞いてみろ,法月綸太郎,,missing,awarded,第17回
KMS-018-H1-01,PLAM-000572,KMS,このミステリーがすごい！国内編,2006,18,H1,容疑者Xの献身,東野圭吾,,missing,awarded,第18回
KMS-019-H1-01,PLAM-000700,KMS,このミステリーがすごい！国内編,2007,19,H1,独白するユニバーサル横メルカトル,平山夢明,,missing,awarded,第19回
KMS-020-H1-01,PLAM-000701,KMS,このミステリーがすごい！国内編,2008,20,H1,警官の血,佐々木譲,,missing,awarded,第20回
KMS-021-H1-01,PLAM-000399,KMS,このミステリーがすごい！国内編,2009,21,H1,ゴールデンスランバー,伊坂幸太郎,,missing,awarded,第21回
KMS-022-H1-01,PLAM-000702,KMS,このミステリーがすごい！国内編,2010,22,H1,新参者,東野圭吾,,missing,awarded,第22回
KMS-023-H1-01,PLAM-000703,KMS,このミステリーがすごい！国内編,2011,23,H1,悪の教典,貴志祐介,,missing,awarded,第23回
KMS-024-H1-01,PLAM-000549,KMS,このミステリーがすごい！国内編,2012,24,H1,ジェノサイド,高野和明,,missing,awarded,第24回
KMS-025-H1-01,PLAM-000704,KMS,このミステリーがすごい！国内編,2013,25,H1,64,横山秀夫,,missing,awarded,第25回（ロクヨン）
KMS-026-H1-01,PLAM-000705,KMS,このミステリーがすごい！国内編,2014,26,H1,ノックス・マシン,法月綸太郎,,missing,awarded,第26回
KMS-027-H1-01,PLAM-000619,KMS,このミステリーがすごい！国内編,2015,27,H1,満願,米澤穂信,,missing,awarded,第27回
KMS-028-H1-01,PLAM-000706,KMS,このミステリーがすごい！国内編,2016,28,H1,王とサーカス,米澤穂信,,missing,awarded,第28回
KMS-029-H1-01,PLAM-000584,KMS,このミステリーがすごい！国内編,2017,29,H1,涙香迷宮,竹本健治,,missing,awarded,第29回
KMS-030-H1-01,PLAM-000585,KMS,このミステリーがすごい！国内編,2018,30,H1,屍人荘の殺人,今村昌弘,,missing,awarded,第30回
KMS-031-H1-01,PLAM-000707,KMS,このミステリーがすごい！国内編,2019,31,H1,それまでの明日,原尞,,missing,awarded,第31回
KMS-032-H1-01,PLAM-000587,KMS,このミステリーがすごい！国内編,2020,32,H1,medium 霊媒探偵城塚翡翠,相沢沙呼,,missing,awarded,第32回
KMS-033-H1-01,PLAM-000708,KMS,このミステリーがすごい！国内編,2021,33,H1,たかが殺人じゃないか,辻真先,,missing,awarded,第33回
KMS-034-H1-01,PLAM-000382,KMS,このミステリーがすごい！国内編,2022,34,H1,黒牢城,米澤穂信,,missing,awarded,第34回
KMS-035-H1-01,PLAM-000709,KMS,このミステリーがすごい！国内編,2023,35,H1,爆弾,呉勝浩,,missing,awarded,第35回
KMS-036-H1-01,PLAM-000710,KMS,このミステリーがすごい！国内編,2024,36,H1,可燃物,米澤穂信,,missing,awarded,第36回
KMS-037-H1-01,PLAM-000564,KMS,このミステリーがすごい！国内編,2025,37,H1,地雷グリコ,青崎有吾,,missing,awarded,第37回
KMS-038-H1-01,PLAM-000711,KMS,このミステリーがすごい！国内編,2026,38,H1,失われた貌,櫻田智也,,missing,awarded,第38回（新潮社プレスリリースで確認）
