entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
MIS-039-H1-01,PLAM-000826,MIS,三島由紀夫賞,2026,39,H1,はくしむるち,豊永浩平,9784065417973,known,awarded,award_booksより取り込み(2026-07-17)
MIS-038-H1-01,PLAM-000827,MIS,三島由紀夫賞,2025,38,H1,橘の家,中西智佐乃,9784103551126,known,awarded,award_booksより取り込み(2026-07-17)
MIS-037-H1-01,PLAM-000828,MIS,三島由紀夫賞,2024,37,H1,みどりいせき,大田ステファニー歓人,9784087718614,known,awarded,award_booksより取り込み(2026-07-17)
MIS-036-H1-01,PLAM-000829,MIS,三島由紀夫賞,2023,36,H1,植物少女,朝比奈秋,9784022518842,known,awarded,award_booksより取り込み(2026-07-17)
MIS-035-H1-01,PLAM-000830,MIS,三島由紀夫賞,2022,35,H1,ブロッコリー・レボリューション,岡田利規,9784103040521,known,awarded,award_booksより取り込み(2026-07-17)
MIS-034-H1-01,PLAM-000831,MIS,三島由紀夫賞,2021,34,H1,旅する練習,乗代雄介,9784065221631,known,awarded,award_booksより取り込み(2026-07-17)
MIS-033-H1-01,PLAM-000832,MIS,三島由紀夫賞,2020,33,H1,かか,宇佐見りん,9784309028453,known,awarded,award_booksより取り込み(2026-07-17)
MIS-032-H1-01,PLAM-000833,MIS,三島由紀夫賞,2019,32,H1,いかれころ,三国美千子,9784103526612,known,awarded,award_booksより取り込み(2026-07-17)
MIS-031-H1-01,PLAM-000834,MIS,三島由紀夫賞,2018,31,H1,無限の玄,古谷田奈月,9784480804808,known,awarded,award_booksより取り込み(2026-07-17)
MIS-030-H1-01,PLAM-000835,MIS,三島由紀夫賞,2017,30,H1,カブールの園,宮内悠介,9784163905938,known,awarded,award_booksより取り込み(2026-07-17)
MIS-029-H1-01,PLAM-000836,MIS,三島由紀夫賞,2016,29,H1,伯爵夫人,蓮實重彦,9784103043539,known,awarded,award_booksより取り込み(2026-07-17)
MIS-028-H1-01,PLAM-000837,MIS,三島由紀夫賞,2015,28,H1,私の恋人,上田岳弘,9784103367321,known,awarded,award_booksより取り込み(2026-07-17)
MIS-026-H1-01,PLAM-000838,MIS,三島由紀夫賞,2013,26,H1,しろいろの街の、その骨の体温の,村田沙耶香,9784022510112,known,awarded,award_booksより取り込み(2026-07-17)
MIS-025-H1-01,PLAM-000839,MIS,三島由紀夫賞,2012,25,H1,私のいない高校,青木淳悟,9784062170086,known,awarded,award_booksより取り込み(2026-07-17)
MIS-024-H1-01,PLAM-000840,MIS,三島由紀夫賞,2011,24,H1,こちらあみ子,今村夏子,9784480804303,known,awarded,award_booksより取り込み(2026-07-17)
MIS-023-H1-01,PLAM-000841,MIS,三島由紀夫賞,2010,23,H1,クォンタム・ファミリーズ,東浩紀,9784104262038,known,awarded,award_booksより取り込み(2026-07-17)
MIS-022-H1-01,PLAM-000842,MIS,三島由紀夫賞,2009,22,H1,夏の水の半魚人,前田司郎,9784594058784,known,awarded,award_booksより取り込み(2026-07-17)
MIS-021-H1-01,PLAM-000843,MIS,三島由紀夫賞,2008,21,H1,切れた鎖,田中慎弥,9784103041320,known,awarded,award_booksより取り込み(2026-07-17)
MIS-020-H1-01,PLAM-000844,MIS,三島由紀夫賞,2007,20,H1,1000の小説とバックベアード,佐藤友哉,9784104525027,known,awarded,award_booksより取り込み(2026-07-17)
MIS-019-H1-01,PLAM-000845,MIS,三島由紀夫賞,2006,19,H1,LOVE,古川日出男,,missing,awarded,award_booksより取り込み(2026-07-17)
MIS-009-H1-01,PLAM-000846,MIS,三島由紀夫賞,1996,9,H1,折口信夫論,松浦寿輝,9784480091529,known,awarded,award_booksより取り込み(2026-07-17)
MIS-003-H1-01,PLAM-000847,MIS,三島由紀夫賞,1990,3,H1,世紀末鯨鯢記,久間十義,9784309006161,known,awarded,award_booksより取り込み(2026-07-17)
MIS-001-H1-01,PLAM-000848,MIS,三島由紀夫賞,1988,1,H1,優雅で感傷的な日本野球,高橋源一郎,9784309005041,known,awarded,award_booksより取り込み(2026-07-17)
