entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
NOM-078-H1-01,PLAM-000932,NOM,野間文芸賞,2025,78,H1,世界99（上・下）,村田沙耶香,,missing,awarded,award_booksより取り込み(2026-07-17)
NOM-077-H1-01,PLAM-000933,NOM,野間文芸賞,2024,77,H1,列,中村文則,9784065333396,known,awarded,award_booksより取り込み(2026-07-17)
NOM-076-H1-01,PLAM-000934,NOM,野間文芸賞,2023,76,H1,恋ははかない、あるいは、プールの底のステーキ,川上弘美,9784065324387,known,awarded,award_booksより取り込み(2026-07-17)
NOM-075-H1-01,PLAM-000935,NOM,野間文芸賞,2022,75,H1,ヒカリ文集,松浦理英子,9784065267462,known,awarded,award_booksより取り込み(2026-07-17)
NOM-074-H1-01,PLAM-000936,NOM,野間文芸賞,2021,74,H1,天路,リービ英雄,9784065243756,known,awarded,award_booksより取り込み(2026-07-17)
NOM-073-H1-01,PLAM-000937,NOM,野間文芸賞,2020,73,H1,小箱,小川洋子,9784022516428,known,awarded,award_booksより取り込み(2026-07-17)
NOM-072-H1-01,PLAM-000938,NOM,野間文芸賞,2019,72,H1,人外,松浦寿輝,9784065147245,known,awarded,award_booksより取り込み(2026-07-17)
NOM-071-H1-01,PLAM-000939,NOM,野間文芸賞,2018,71,H1,草薙の剣,橋本治,9784104061150,known,awarded,award_booksより取り込み(2026-07-17)
NOM-070-H1-01,PLAM-000940,NOM,野間文芸賞,2017,70,H1,土の記（上・下）,高村薫,,missing,awarded,award_booksより取り込み(2026-07-17)
NOM-069-H1-01,PLAM-000941,NOM,野間文芸賞,2016,69,H1,その姿の消し方,堀江敏幸,9784104471058,known,awarded,award_booksより取り込み(2026-07-17)
NOM-068-H1-01,PLAM-000942,NOM,野間文芸賞,2015,68,H1,冥途あり,長野まゆみ,9784062195720,known,awarded,award_booksより取り込み(2026-07-17)
NOM-067-H1-01,PLAM-000943,NOM,野間文芸賞,2014,67,H1,未闘病記――膠原病、「混合性結合組織病」の,笙野頼子,,missing,awarded,award_booksより取り込み(2026-07-17)
NOM-066-H1-01,PLAM-000944,NOM,野間文芸賞,2013,66,H1,未明の闘争,保坂和志,9784062184922,known,awarded,award_booksより取り込み(2026-07-17)
NOM-065-H1-01,PLAM-000945,NOM,野間文芸賞,2012,65,H1,ジェントルマン,山田詠美,9784062173865,known,awarded,award_booksより取り込み(2026-07-17)
NOM-064-H1-01,PLAM-000946,NOM,野間文芸賞,2011,64,H1,雪の練習生,多和田葉子,9784104361045,known,awarded,award_booksより取り込み(2026-07-17)
NOM-063-H1-01,PLAM-000947,NOM,野間文芸賞,2010,63,H1,故郷のわが家,村田喜代子,9784104041039,known,awarded,award_booksより取り込み(2026-07-17)
NOM-062-H1-01,PLAM-000948,NOM,野間文芸賞,2009,62,H1,神器―軍艦「橿原」殺人事件（上・下）,奥泉光,,missing,awarded,award_booksより取り込み(2026-07-17)
