entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
RAN-001-H1-01,PLAM-000417,RAN,江戸川乱歩賞,1955,1,H1,探偵小説辞典,中島河太郎,,missing,awarded,初期特別表彰（評論・辞典）
RAN-002-H1-01,PLAM-000418,RAN,江戸川乱歩賞,1956,2,H1,ハヤカワ・ポケット・ミステリの出版,早川書房,,missing,awarded,初期特別表彰（出版貢献）
RAN-003-H1-01,PLAM-000419,RAN,江戸川乱歩賞,1957,3,H1,猫は知っていた,仁木悦子,,missing,awarded,
RAN-004-H1-01,PLAM-000420,RAN,江戸川乱歩賞,1958,4,H1,濡れた心,多岐川恭,,missing,awarded,
RAN-005-H1-01,PLAM-000421,RAN,江戸川乱歩賞,1959,5,H1,危険な関係,新章文子,,missing,awarded,
RAN-006-H1-00,,RAN,江戸川乱歩賞,1960,6,H1,,,,missing,no_award
RAN-007-H1-01,PLAM-000422,RAN,江戸川乱歩賞,1961,7,H1,枯草の根,陳舜臣,,missing,awarded,
RAN-008-H1-01,PLAM-000423,RAN,江戸川乱歩賞,1962,8,H1,大いなる幻影,戸川昌子,,missing,co_winner,
RAN-008-H1-02,PLAM-000424,RAN,江戸川乱歩賞,1962,8,H1,華やかな死体,佐賀潜,,missing,co_winner,
RAN-009-H1-01,PLAM-000425,RAN,江戸川乱歩賞,1963,9,H1,孤独なアスファルト,藤村正太,,missing,awarded,
RAN-010-H1-01,PLAM-000426,RAN,江戸川乱歩賞,1964,10,H1,蟻の木の下で,西東登,,missing,awarded,
RAN-011-H1-01,PLAM-000427,RAN,江戸川乱歩賞,1965,11,H1,天使の傷痕,西村京太郎,,missing,awarded,
RAN-012-H1-01,PLAM-000428,RAN,江戸川乱歩賞,1966,12,H1,殺人の棋譜,斎藤栄,,missing,awarded,
RAN-013-H1-01,PLAM-000429,RAN,江戸川乱歩賞,1967,13,H1,伯林－一八八八年,海渡英祐,,missing,awarded,
RAN-014-H1-00,,RAN,江戸川乱歩賞,1968,14,H1,,,,missing,no_award
RAN-015-H1-01,PLAM-000430,RAN,江戸川乱歩賞,1969,15,H1,高層の死角,森村誠一,,missing,awarded,
RAN-016-H1-01,PLAM-000431,RAN,江戸川乱歩賞,1970,16,H1,殺意の演奏,大谷羊太郎,,missing,awarded,
RAN-017-H1-00,,RAN,江戸川乱歩賞,1971,17,H1,,,,missing,no_award
RAN-018-H1-01,PLAM-000432,RAN,江戸川乱歩賞,1972,18,H1,仮面法廷,和久峻三,,missing,awarded,
RAN-019-H1-01,PLAM-000433,RAN,江戸川乱歩賞,1973,19,H1,アルキメデスは手を汚さない,小峰元,,missing,awarded,
RAN-020-H1-01,PLAM-000434,RAN,江戸川乱歩賞,1974,20,H1,暗黒告知,小林久三,,missing,awarded,
RAN-021-H1-01,PLAM-000435,RAN,江戸川乱歩賞,1975,21,H1,蝶たちは今…,日下圭介,,missing,awarded,
RAN-022-H1-01,PLAM-000436,RAN,江戸川乱歩賞,1976,22,H1,五十万年の死角,伴野朗,,missing,awarded,
RAN-023-H1-01,PLAM-000437,RAN,江戸川乱歩賞,1977,23,H1,時をきざむ潮,藤本泉,,missing,co_winner,
RAN-023-H1-02,PLAM-000438,RAN,江戸川乱歩賞,1977,23,H1,透明な季節,梶龍雄,,missing,co_winner,
RAN-024-H1-01,PLAM-000439,RAN,江戸川乱歩賞,1978,24,H1,ぼくらの時代,栗本薫,,missing,awarded,
RAN-025-H1-01,PLAM-000440,RAN,江戸川乱歩賞,1979,25,H1,プラハからの道化たち,高柳芳夫,,missing,awarded,
RAN-026-H1-01,PLAM-000441,RAN,江戸川乱歩賞,1980,26,H1,猿丸幻視行,井沢元彦,,missing,awarded,
RAN-027-H1-01,PLAM-000442,RAN,江戸川乱歩賞,1981,27,H1,原子炉の蟹,長井彬,,missing,awarded,
RAN-028-H1-01,PLAM-000443,RAN,江戸川乱歩賞,1982,28,H1,焦茶色のパステル,岡嶋二人,,missing,co_winner,
RAN-028-H1-02,PLAM-000444,RAN,江戸川乱歩賞,1982,28,H1,黄金流砂,中津文彦,,missing,co_winner,
RAN-029-H1-01,PLAM-000445,RAN,江戸川乱歩賞,1983,29,H1,写楽殺人事件,高橋克彦,,missing,awarded,
RAN-030-H1-01,PLAM-000446,RAN,江戸川乱歩賞,1984,30,H1,天女の末裔,鳥井加南子,,missing,awarded,
RAN-031-H1-01,PLAM-000447,RAN,江戸川乱歩賞,1985,31,H1,放課後,東野圭吾,,missing,co_winner,
RAN-031-H1-02,PLAM-000448,RAN,江戸川乱歩賞,1985,31,H1,モーツァルトは子守唄を歌わない,森雅裕,,missing,co_winner,
RAN-032-H1-01,PLAM-000449,RAN,江戸川乱歩賞,1986,32,H1,花園の迷宮,山崎洋子,,missing,awarded,
RAN-033-H1-01,PLAM-000450,RAN,江戸川乱歩賞,1987,33,H1,風のターン・ロード,石井敏弘,,missing,awarded,
RAN-034-H1-01,PLAM-000451,RAN,江戸川乱歩賞,1988,34,H1,白色の残像,坂本光一,,missing,awarded,
RAN-035-H1-01,PLAM-000452,RAN,江戸川乱歩賞,1989,35,H1,浅草エノケン一座の嵐,長坂秀佳,,missing,awarded,
RAN-036-H1-01,PLAM-000453,RAN,江戸川乱歩賞,1990,36,H1,剣の道殺人事件,鳥羽亮,,missing,co_winner,
RAN-036-H1-02,PLAM-000454,RAN,江戸川乱歩賞,1990,36,H1,フェニックスの弔鐘,阿部陽一,,missing,co_winner,
RAN-037-H1-01,PLAM-000455,RAN,江戸川乱歩賞,1991,37,H1,ナイト・ダンサー,鳴海章,,missing,co_winner,
RAN-037-H1-02,PLAM-000456,RAN,江戸川乱歩賞,1991,37,H1,連鎖,真保裕一,,missing,co_winner,
RAN-038-H1-01,PLAM-000457,RAN,江戸川乱歩賞,1992,38,H1,白く長い廊下,川田弥一郎,,missing,awarded,
