entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
TAN-061-H1-01,PLAM-000783,TAN,谷崎潤一郎賞,2025,61,H1,熊はどこにいるの,木村紅美,9784309039466,known,awarded,award_booksより取り込み(2026-07-17)
TAN-060-H1-01,PLAM-000784,TAN,谷崎潤一郎賞,2024,60,H1,続きと始まり,柴崎友香,9784087718560,known,awarded,award_booksより取り込み(2026-07-17)
TAN-059-H1-01,PLAM-000785,TAN,谷崎潤一郎賞,2023,59,H1,水車小屋のネネ,津村記久子,9784620108629,known,awarded,award_booksより取り込み(2026-07-17)
TAN-058-H1-01,PLAM-000786,TAN,谷崎潤一郎賞,2022,58,H1,ミトンとふびん,吉本ばなな,9784103834120,known,awarded,award_booksより取り込み(2026-07-17)
TAN-057-H1-01,PLAM-000787,TAN,谷崎潤一郎賞,2021,57,H1,アンソーシャル ディスタンス,金原ひとみ,9784103045359,known,awarded,award_booksより取り込み(2026-07-17)
TAN-056-H1-01,PLAM-000788,TAN,谷崎潤一郎賞,2020,56,H1,日本蒙昧前史,磯﨑憲一郎,9784163912271,known,awarded,award_booksより取り込み(2026-07-17)
TAN-055-H1-01,PLAM-000789,TAN,谷崎潤一郎賞,2019,55,H1,飛族,村田喜代子,9784163909899,known,awarded,award_booksより取り込み(2026-07-17)
TAN-054-H1-01,PLAM-000334,TAN,谷崎潤一郎賞,2018,54,H1,送り火,高橋弘希,9784163908731,known,awarded,award_booksより取り込み(2026-07-17)
TAN-053-H1-01,PLAM-000371,TAN,谷崎潤一郎賞,2017,53,H1,月の満ち欠け,佐藤正午,9784000014083,known,awarded,award_booksより取り込み(2026-07-17)
TAN-052-H1-01,PLAM-000327,TAN,谷崎潤一郎賞,2016,52,H1,異類婚姻譚,本谷有希子,9784062199001,known,awarded,award_booksより取り込み(2026-07-17)
TAN-051-H1-01,PLAM-000328,TAN,谷崎潤一郎賞,2015,51,H1,死んでいない者,滝口悠生,9784163904122,known,awarded,award_booksより取り込み(2026-07-17)
TAN-050-H1-01,PLAM-000324,TAN,谷崎潤一郎賞,2014,50,H1,九年前の祈り,小野正嗣,9784062192927,known,awarded,award_booksより取り込み(2026-07-17)
TAN-049-H1-01,PLAM-000790,TAN,谷崎潤一郎賞,2013,49,H1,愛の夢とか,川上未映子,9784062177993,known,awarded,award_booksより取り込み(2026-07-17)
TAN-048-H1-01,PLAM-000791,TAN,谷崎潤一郎賞,2012,48,H1,さよならクリストファー・ロビン,高橋源一郎,9784104508020,known,awarded,award_booksより取り込み(2026-07-17)
TAN-047-H1-01,PLAM-000792,TAN,谷崎潤一郎賞,2011,47,H1,半島へ,稲葉真弓,9784062169776,known,awarded,award_booksより取り込み(2026-07-17)
