work_id,canonical_title,title,author,author_id,isbn13,isbn_status,notes
PLAM-000001,蒼氓,蒼氓,石川達三,AUTR-000001,,missing,
PLAM-000002,コシャマイン記,コシャマイン記,鶴田知也,AUTR-000002,,missing,
PLAM-000003,城外,城外,小田嶽夫,AUTR-000003,,missing,
PLAM-000004,地中海,地中海,冨澤有爲男,AUTR-000004,,missing,
PLAM-000005,普賢,普賢,石川淳,AUTR-000005,,missing,
PLAM-000006,暢氣眼鏡 他,暢氣眼鏡 他,尾崎一雄,AUTR-000006,,missing,
PLAM-000007,糞尿譚,糞尿譚,火野葦平,AUTR-000007,,missing,
PLAM-000008,厚物咲,厚物咲,中山義秀,AUTR-000008,,missing,
PLAM-000009,乗合馬車 他,乗合馬車 他,中里恒子,AUTR-000009,,missing,
PLAM-000010,あさくさの子供,あさくさの子供,長谷健,AUTR-000010,,missing,
PLAM-000011,鶏騒動,鶏騒動,半田義之,AUTR-000011,,missing,
PLAM-000012,密獵者,密獵者,寒川光太郎,AUTR-000012,,missing,
PLAM-000013,平賀源内,平賀源内,櫻田常久,AUTR-000013,,missing,
PLAM-000014,長江デルタ,長江デルタ,多田裕計,AUTR-000014,,missing,
PLAM-000015,青果の市,青果の市,芝木好子,AUTR-000015,,missing,
PLAM-000016,連絡員,連絡員,倉光俊夫,AUTR-000016,,missing,
PLAM-000017,纏足の頃,纏足の頃,石塚喜久三,AUTR-000017,,missing,
PLAM-000018,和紙,和紙,東野邊薫,AUTR-000018,,missing,
PLAM-000019,攀,攀,小尾十三登,AUTR-000019,,missing,
PLAM-000020,劉廣福,劉廣福,八木義徳,AUTR-000020,,missing,
PLAM-000021,雁立,雁立,清水基吉,AUTR-000021,,missing,
PLAM-000022,本の話,本の話,由起しげ子,AUTR-000022,,missing,
PLAM-000023,確証,確証,小谷剛,AUTR-000023,,missing,
PLAM-000024,闘牛,闘牛,井上靖,AUTR-000024,,missing,
PLAM-000025,異邦人,異邦人,辻亮一,AUTR-000025,,missing,
PLAM-000026,春の草 他,春の草 他,石川利光,AUTR-000026,,missing,
PLAM-000027,壁,壁,安部公房,AUTR-000027,,missing,
PLAM-000028,広場の孤独・漢奸その他,広場の孤独・漢奸その他,堀田善衛,AUTR-000028,,missing,
PLAM-000029,或る「小倉日記」伝,或る「小倉日記」伝,松本清張,AUTR-000029,,missing,
PLAM-000030,喪神,喪神,五味康祐,AUTR-000030,,missing,
PLAM-000031,悪い仲間・陰気な愉しみ,悪い仲間・陰気な愉しみ,安岡章太郎,AUTR-000031,,missing,
PLAM-000032,驟雨・その他,驟雨・その他,吉行淳之介,AUTR-000032,,missing,
PLAM-000033,プールサイド小景,プールサイド小景,庄野潤三,AUTR-000033,,missing,
PLAM-000034,アメリカン・スクール,アメリカン・スクール,小島信夫,AUTR-000034,,missing,
PLAM-000035,白い人,白い人,遠藤周作,AUTR-000035,,missing,
PLAM-000036,太陽の季節,太陽の季節,石原慎太郎,AUTR-000036,,missing,
PLAM-000037,海人舟,海人舟,近藤啓太郎,AUTR-000037,,missing,
PLAM-000038,硫黄島,硫黄島,菊村到,AUTR-000038,,missing,
PLAM-000039,裸の王様,裸の王様,開高健,AUTR-000039,,missing,
PLAM-000040,飼育,飼育,大江健三郎,AUTR-000040,,missing,
PLAM-000041,山塔,山塔,斯波四郎,AUTR-000041,,missing,
PLAM-000042,夜と霧の隅で,夜と霧の隅で,北杜夫,AUTR-000042,,missing,
PLAM-000043,忍ぶ川,忍ぶ川,三浦哲郎,AUTR-000043,,missing,
