entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
YAM-001-H1-01,PLAM-000591,YAM,山本周五郎賞,1988,1,H1,異人たちとの夏,山田太一,,missing,awarded,
YAM-002-H1-01,PLAM-000592,YAM,山本周五郎賞,1989,2,H1,TUGUMI,吉本ばなな,,missing,awarded,
YAM-003-H1-01,PLAM-000513,YAM,山本周五郎賞,1990,3,H1,エトロフ発緊急電,佐々木譲,,missing,awarded,
YAM-004-H1-01,PLAM-000593,YAM,山本周五郎賞,1991,4,H1,ダック・コール,稲見一良,,missing,awarded,
YAM-005-H1-01,PLAM-000594,YAM,山本周五郎賞,1992,5,H1,砂のクロニクル,船戸与一,,missing,awarded,
YAM-006-H1-01,PLAM-000595,YAM,山本周五郎賞,1993,6,H1,火車,宮部みゆき,,missing,awarded,
YAM-007-H1-01,PLAM-000596,YAM,山本周五郎賞,1994,7,H1,一九三四年冬―乱歩,久世光彦,,missing,awarded,
YAM-008-H1-01,PLAM-000597,YAM,山本周五郎賞,1995,8,H1,閉鎖病棟,帚木蓬生,,missing,awarded,
YAM-009-H1-01,PLAM-000598,YAM,山本周五郎賞,1996,9,H1,家族狩り,天童荒太,,missing,awarded,
YAM-010-H1-01,PLAM-000523,YAM,山本周五郎賞,1997,10,H1,奪取,真保裕一,,missing,co_winner,
YAM-010-H1-02,PLAM-000599,YAM,山本周五郎賞,1997,10,H1,ゴサインタン 神の座,篠田節子,,missing,co_winner,
YAM-011-H1-01,PLAM-000600,YAM,山本周五郎賞,1998,11,H1,血と骨,梁石日,,missing,awarded,
YAM-012-H1-01,PLAM-000601,YAM,山本周五郎賞,1999,12,H1,エイジ,重松清,,missing,awarded,
YAM-013-H1-01,PLAM-000602,YAM,山本周五郎賞,2000,13,H1,ぼっけえ、きょうてえ,岩井志麻子,,missing,awarded,
YAM-014-H1-01,PLAM-000603,YAM,山本周五郎賞,2001,14,H1,五年の梅,乙川優三郎,,missing,co_winner,
YAM-014-H1-02,PLAM-000604,YAM,山本周五郎賞,2001,14,H1,白い薔薇の淵まで,中山可穂,,missing,co_winner,
YAM-015-H1-01,PLAM-000605,YAM,山本周五郎賞,2002,15,H1,パレード,吉田修一,,missing,co_winner,
YAM-015-H1-02,PLAM-000606,YAM,山本周五郎賞,2002,15,H1,泳ぐのに、安全でも適切でもありません,江國香織,,missing,co_winner,
YAM-016-H1-01,PLAM-000607,YAM,山本周五郎賞,2003,16,H1,覘き小平次,京極夏彦,,missing,awarded,
YAM-017-H1-01,PLAM-000299,YAM,山本周五郎賞,2004,17,H1,邂逅の森,熊谷達也,,missing,awarded,
YAM-018-H1-01,PLAM-000608,YAM,山本周五郎賞,2005,18,H1,明日の記憶,荻原浩,,missing,co_winner,
YAM-018-H1-02,PLAM-000609,YAM,山本周五郎賞,2005,18,H1,君たちに明日はない,垣根涼介,,missing,co_winner,
YAM-019-H1-01,PLAM-000610,YAM,山本周五郎賞,2006,19,H1,安徳天皇漂海記,宇月原晴明,,missing,awarded,
YAM-020-H1-01,PLAM-000611,YAM,山本周五郎賞,2007,20,H1,中庭の出来事,恩田陸,,missing,co_winner,
YAM-020-H1-02,PLAM-000612,YAM,山本周五郎賞,2007,20,H1,夜は短し歩けよ乙女,森見登美彦,,missing,co_winner,
YAM-021-H1-01,PLAM-000542,YAM,山本周五郎賞,2008,21,H1,果断 隠蔽捜査2,今野敏,,missing,co_winner,
YAM-021-H1-02,PLAM-000399,YAM,山本周五郎賞,2008,21,H1,ゴールデンスランバー,伊坂幸太郎,,missing,co_winner,
YAM-022-H1-01,PLAM-000613,YAM,山本周五郎賞,2009,22,H1,この胸に深々と突き刺さる矢を抜け,白石一文,,missing,awarded,
YAM-023-H1-01,PLAM-000614,YAM,山本周五郎賞,2010,23,H1,後悔と真実の色,貫井徳郎,,missing,co_winner,
YAM-023-H1-02,PLAM-000615,YAM,山本周五郎賞,2010,23,H1,光媒の花,道尾秀介,,missing,co_winner,
YAM-024-H1-01,PLAM-000616,YAM,山本周五郎賞,2011,24,H1,ふがいない僕は空を見た,窪美澄,,missing,awarded,
YAM-025-H1-01,PLAM-000617,YAM,山本周五郎賞,2012,25,H1,楽園のカンヴァス,原田マハ,,missing,awarded,
