entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
YOM-076-H1-01,PLAM-000849,YOM,読売文学賞,2024,76,H1,コード・ブッダ,円城塔,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-075-H1-01,PLAM-000850,YOM,読売文学賞,2023,75,H1,黄色い家,川上未映子,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-074-H1-01,PLAM-000851,YOM,読売文学賞,2022,74,H1,喜べ、幸いなる魂よ,佐藤亜紀,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-073-H1-01,PLAM-000852,YOM,読売文学賞,2021,73,H1,ジュリアン・バトラーの真実の生涯,川本直,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-071-H1-01,PLAM-000853,YOM,読売文学賞,2019,71,H1,君が異端だった頃,島田雅彦,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-070-H1-01,PLAM-000854,YOM,読売文学賞,2018,70,H1,ある男,平野啓一郎,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-069-H1-01,PLAM-000855,YOM,読売文学賞,2017,69,H1,僕が殺した人と僕を殺した人,東山彰良,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-068-H1-01,PLAM-000856,YOM,読売文学賞,2016,68,H1,模範郷,リービ英雄,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-067-H1-01,PLAM-000857,YOM,読売文学賞,2015,67,H1,女たち三百人の裏切りの書,古川日出男,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-066-H1-01,PLAM-000858,YOM,読売文学賞,2014,66,H1,水声,川上弘美,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-066-H1-02,PLAM-000859,YOM,読売文学賞,2014,66,H1,夜は終わらない,星野智幸,,missing,co_winner,award_booksより取り込み(2026-07-17)
YOM-065-H1-01,PLAM-000860,YOM,読売文学賞,2013,65,H1,ゆうじょこう,村田喜代子,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-064-H1-01,PLAM-000861,YOM,読売文学賞,2012,64,H1,火山のふもとで,松家仁之,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-064-H1-02,PLAM-000862,YOM,読売文学賞,2012,64,H1,雲をつかむ話,多和田葉子,,missing,co_winner,award_booksより取り込み(2026-07-17)
YOM-062-H1-01,PLAM-000863,YOM,読売文学賞,2010,62,H1,ナニカアル,桐野夏生,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-061-H1-01,PLAM-000864,YOM,読売文学賞,2009,61,H1,太陽を曳く馬,高村薫,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-060-H1-01,PLAM-000865,YOM,読売文学賞,2008,60,H1,かもめの日,黒川創,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-059-H1-01,PLAM-000866,YOM,読売文学賞,2007,59,H1,犬身,松浦理英子,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-057-H1-01,PLAM-000867,YOM,読売文学賞,2005,57,H1,焼身,宮内勝典,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-057-H1-02,PLAM-000868,YOM,読売文学賞,2005,57,H1,河岸忘日抄,堀江敏幸,,missing,co_winner,award_booksより取り込み(2026-07-17)
YOM-055-H1-01,PLAM-000395,YOM,読売文学賞,2003,55,H1,博士の愛した数式,小川洋子,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-054-H1-01,PLAM-000869,YOM,読売文学賞,2002,54,H1,本格小説,水村美苗,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-053-H1-01,PLAM-000870,YOM,読売文学賞,2001,53,H1,ホラ吹きアンリの冒険,荻野アンナ,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-052-H1-01,PLAM-000871,YOM,読売文学賞,2000,52,H1,A2Z,山田詠美,,missing,awarded,award_booksより取り込み(2026-07-17)
YOM-052-H1-02,PLAM-000872,YOM,読売文学賞,2000,52,H1,濁った激流にかかる橋,伊井直行,,missing,co_winner,award_booksより取り込み(2026-07-17)
