entry_id,work_id,award_id,award_name,award_year,award_no,award_term,title,author,isbn13,isbn_status,status,remarks
KIK-001-H1-01,PLAM-000629,KIK,吉川英治文学賞,1967,1,H1,昭和史発掘,松本清張,,missing,awarded,複数作対象
KIK-002-H1-01,PLAM-000630,KIK,吉川英治文学賞,1968,2,H1,徳川家康,山岡荘八,,missing,awarded,
KIK-003-H1-01,PLAM-000631,KIK,吉川英治文学賞,1969,3,H1,しぐれ茶屋おりく,川口松太郎,,missing,awarded,
KIK-004-H1-01,PLAM-000632,KIK,吉川英治文学賞,1970,4,H1,三国志 英雄ここにあり,柴田錬三郎,,missing,awarded,
KIK-005-H1-01,PLAM-000633,KIK,吉川英治文学賞,1971,5,H1,口紅と鏡,源氏鶏太,,missing,awarded,複数作対象
KIK-006-H1-01,PLAM-000634,KIK,吉川英治文学賞,1972,6,H1,世に棲む日日,司馬遼太郎,,missing,awarded,
KIK-007-H1-01,PLAM-000635,KIK,吉川英治文学賞,1973,7,H1,兵卒の鬣,水上勉,,missing,awarded,
KIK-008-H1-01,PLAM-000636,KIK,吉川英治文学賞,1974,8,H1,武田信玄,新田次郎,,missing,awarded,
KIK-009-H1-01,PLAM-000637,KIK,吉川英治文学賞,1975,9,H1,落日燃ゆ,城山三郎,,missing,awarded,
KIK-010-H1-01,PLAM-000638,KIK,吉川英治文学賞,1976,10,H1,青春の門,五木寛之,,missing,awarded,
KIK-011-H1-01,PLAM-000639,KIK,吉川英治文学賞,1977,11,H1,鬼平犯科帳,池波正太郎,,missing,awarded,複数シリーズ対象
KIK-012-H1-01,PLAM-000640,KIK,吉川英治文学賞,1978,12,H1,滝沢馬琴,杉本苑子,,missing,awarded,
KIK-013-H1-01,PLAM-000641,KIK,吉川英治文学賞,1979,13,H1,ふぉん・しいほるとの娘,吉村昭,,missing,awarded,
KIK-014-H1-01,PLAM-000642,KIK,吉川英治文学賞,1980,14,H1,天の川の太陽,黒岩重吾,,missing,co_winner,
KIK-014-H1-02,PLAM-000643,KIK,吉川英治文学賞,1980,14,H1,遠き落日,渡辺淳一,,missing,co_winner,「長崎ロシア遊女館」も対象
KIK-015-H1-01,PLAM-000644,KIK,吉川英治文学賞,1981,15,H1,茜いろの坂,船山馨,,missing,awarded,
KIK-016-H1-01,PLAM-000645,KIK,吉川英治文学賞,1982,16,H1,細香日記,南條範夫,,missing,awarded,
KIK-017-H1-01,PLAM-000646,KIK,吉川英治文学賞,1983,17,H1,序の舞,宮尾登美子,,missing,awarded,
KIK-018-H1-01,PLAM-000647,KIK,吉川英治文学賞,1984,18,H1,静かなノモンハン,伊藤桂一,,missing,awarded,
KIK-019-H1-01,PLAM-000648,KIK,吉川英治文学賞,1985,19,H1,終着駅,結城昌治,,missing,awarded,
KIK-020-H1-01,PLAM-000649,KIK,吉川英治文学賞,1986,20,H1,腹鼓記,井上ひさし,,missing,co_winner,「不忠臣蔵」も対象
KIK-020-H1-02,PLAM-000650,KIK,吉川英治文学賞,1986,20,H1,白き瓶,藤沢周平,,missing,co_winner,
KIK-021-H1-01,PLAM-000651,KIK,吉川英治文学賞,1987,21,H1,優駿,宮本輝,,missing,awarded,
KIK-022-H1-01,PLAM-000652,KIK,吉川英治文学賞,1988,22,H1,雲と風と,永井路子,,missing,awarded,
KIK-023-H1-01,PLAM-000653,KIK,吉川英治文学賞,1989,23,H1,會津士魂,早乙女貢,,missing,awarded,
KIK-024-H1-01,PLAM-000654,KIK,吉川英治文学賞,1990,24,H1,大衆文学の歴史,尾崎秀樹,,missing,awarded,
KIK-025-H1-01,PLAM-000655,KIK,吉川英治文学賞,1991,25,H1,花影の花 大石内蔵助の妻,平岩弓枝,,missing,awarded,
KIK-026-H1-01,PLAM-000656,KIK,吉川英治文学賞,1992,26,H1,諸葛孔明,陳舜臣,,missing,awarded,
KIK-027-H1-01,PLAM-000657,KIK,吉川英治文学賞,1993,27,H1,ひねくれ一茶,田辺聖子,,missing,awarded,
KIK-028-H1-00,,KIK,吉川英治文学賞,1994,28,H1,,,,missing,no_award,
KIK-029-H1-01,PLAM-000658,KIK,吉川英治文学賞,1995,29,H1,夢のまた夢,津本陽,,missing,co_winner,
KIK-029-H1-02,PLAM-000659,KIK,吉川英治文学賞,1995,29,H1,新トロイア物語,阿刀田高,,missing,co_winner,
KIK-030-H1-01,PLAM-000660,KIK,吉川英治文学賞,1996,30,H1,星の衣,高橋治,,missing,awarded,
